PARAMETERNAMN,PROV_BERED,PROVKARL,ANALYS_MET,ACKREDITERAD_MET,ANALYS_INSTR,LABB
"1,2,3,4,6,7,8,9-OCDF",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB77,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB81,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB126,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB169,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB105,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB114,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB118,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB123,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB156,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB157,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB167,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
PCB189,ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
Kvicksilver,SS-EN13805-2009,PLAST,US EPA 7473,Ja,ICPMS,ACES
"Perfluorhexansyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluorheptansyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluoroktansyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluornonansyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluordekansyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluorundekansyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluordodekansyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
"Perfluortridekansyra, linjär",ISTD-ACET,PLAST,UPLC-MS/MS,Nej,LC-MS-MS,ACES
